City,County,State,Population Count,Status,Submission Method,Contact Value,Notes,Method,Date Submitted,Status,Notes,
Leominster,Worcester,Massachusetts,43782,,pdf_form,edoiron@leominster-ma.gov,Email completed Public Records Request form to City Clerk edoiron@leominster-ma.gov. Alt city email: clerks@leominster-ma.gov,Manual,2/3/2026,Sent,Email,
Milford,Worcester,Massachusetts,30379,,public_records_email,rvillani@townofmilford.com,Town Ã¢â‚¬Å“Records Access GuidelinesÃ¢â‚¬Â says requests can be submitted by email to the RAO at this address (also references the RAO role).,Manual,2/3/2026,Fulfilled,Email,
Shrewsbury,Worcester,Massachusetts,38325,,email,sthomas@shrewsburyma.gov,Town Clerk (Primary Records Access Officer),Manual,2/3/2026,Sent,Email,
Worcester,Worcester,Massachusetts,206518,,portal,https://www.worcesterma.gov/public-records-requests,City Public Records Portal,Manual,2/3/2026,Fulfilled,W083945-020326,
Worcester County,Worcester,Massachusetts,862111,,email,WCSOPRR@sdw.state.ma.us,County Sheriff Public Records,Manual,2/3/2026,Sent,Email,
Holland,Allegan County,Michigan,35023,,Email,HCCityFOIA@cityofholland.com,City Clerk FOIA Coordinator email; include Ã¢â‚¬Å“FOIA RequestÃ¢â‚¬Â in subject. Police records FOIA: HCPOLICEFOIA@cityofholland.com,Manual,2/3/2026,Sent,Email,
Bay City,Bay County,Michigan,32086,Sent,PDF Form,https://www.baycitymi.gov/DocumentCenter/View/390/City-FOIA-Request-Form-PDF?bidId=,Form lists FOIA Coordinator email: foiacoordinator@baycitymi.gov. Public Safety FOIA email: DPS-FOIA@baycitymi.gov,PDF Form,2/3/2026,Sent,PDF + Email,
Allegan County,Allegan County,Michigan,122429,,Web Portal,https://allegancounty.justfoia.com/publicportal,JustFOIA portal for Allegan County records requests,Manual,2/3/2026,Sent,654DC8E7. request reference number is FOIA-38-2026.,
Barry County,Barry County,Michigan,62429,,Email,foia@barrycounty.org,Barry County Sheriff page indicates FOIA forms can be emailed to this address,Manual,2/3/2026,Sent,Email,
Berrien County,Berrien County,Michigan,152703,,Email,foia@berriencounty.org,Berrien County FOIA page lists this email for requests,Manual,2/3/2026,Sent,Email,
Alpena County (replacing Alpena city <25k),Alpena County,Michigan,28903,Fee Quote,Email,FOIA@alpenacounty.org,City of Alpena is <25k; county FOIA page lists this email for Ã¢â‚¬Å“all other requestsÃ¢â‚¬Â,Manual,2/3/2026,Sent,Email,
Berrien County,Berrien County,Michigan,154316,,Email,FOIA@BerrienCounty.org,FOIA page lists email submission; also offers FOIA request form PDF if needed.,Manual,2/3/2026,Sent,Email,
Branch County,Branch County,Michigan,44862,,PDF Form,https://branchcounty.gov/?ddownload=74,County FOIA page provides a FOIA Request Form download and lists phone/fax/mailing address (no general FOIA email shown on the county FOIA page).,PDF Form,2/3/2026,Sent,PDF + Email,
Calhoun County,Calhoun County,Michigan,134310,,Web Portal,https://calhouncountymi.nextrequest.com/,"County FOIA page points to the online request portal (NextRequest). If you need email instead, the FOIA page snippet lists an FOIA coordinator email (kambrose@calhouncountymi.gov).",Manual,2/3/2026,Sent,Request #26-293,
Cass County,Cass County,Michigan,51589,,Web Portal,https://www.casscountymi.org/formcenter/online-forms-7/foia-request-for-public-records-62,County FOIA page also lists email options: foia@cassco.org (general) and sherifffoia@cassco.org (sheriff).,Manual,2/3/2026,Denied,"No Records, must request to Cities/Towns",
Battle Creek,Calhoun,Michigan,52721,,Web Portal,https://cityofbattlecreekmi.nextrequest.com/,City FOIA page directs requesters to the online portal; City Clerk no longer processes FOIA requests.,Manual,2/3/2026,Fee Qoute,$8.10 ,
Burton,Genesee,Michigan,29715,,Email,publicrecords@burtonmi.gov,City Clerk/FOIA Coordinator page: https://burtonmi.gov/government/clerk_s_office/foia.php,Manual,2/3/2026,Sent,Email,
Cheboygan County,Cheboygan,Michigan,25579,,Email,adminlawson@cheboygancounty.net,County FOIA page: https://www.cheboygancounty.net/FOIA,Manual,2/3/2026,Fulfilled,Email,
Chippewa County,Chippewa,Michigan,36785,,PDF form (website instructions),https://www.chippewacountymi.gov/about-3,"FOIA page provides forms + mailing address (319 Court Street, Sault Ste. Marie, MI 49783) but does not list a specific FOIA email address.",PDF Form,2/3/2026,Denied,No Records,
Clare County,Clare,Michigan,30856,,Email,FOIA@clareco.net,FOIA request form PDF: https://www.clareco.net/wp-content/uploads/2018/06/FOIA-Request-for-Public-Records.pdf,Manual,2/3/2026,Sent,Email,
Clinton County,Clinton,Michigan,79128,,Email,admin@clinton-county.org,County FOIA page: https://www.clinton-county.org/620/Freedom-of-Information-Act-FOIA,Manual,2/3/2026,Fulfilled,Email,
Delta County,Delta,Michigan,36903,,Email,foia@deltacountymi.org,Email listed in county FOIA public summary PDF: https://deltacountymi.gov/wp-content/uploads/2018/07/FOIA-Public-Summary-of-Procedures-and-Guidelines-County-5-6-2015.pdf,Manual,2/3/2026,Sent,Email,
Eaton County,Eaton,Michigan,109175,,Email,foia_clerk@eatoncounty.org,Eaton County FOIA info/FAQ: https://www.eatoncounty.org/356/FOIA---Freedom-of-Information-Act,Manual,2/3/2026,Fulfilled,Email,
Emmet County,Emmet,Michigan,34112,,Email,foia@emmetcounty.org,Emmet County FOIA info: https://www.emmetcounty.org/foia/,Manual,2/3/2026,Sent,Email,
Flint,Genesee,Michigan,81252,,portal_url,https://cityofflintmi.nextrequest.com/,City FOIA landing page,Manual,2/3/2026,Fee Qoute,$5.75 ,
Gladwin County,Gladwin,Michigan,25386,,email,countyclerk@gladwinco.com,FOIA submission email,Manual,2/3/2026,Sent,Email,
Gratiot County,Gratiot,Michigan,41761,,email,foia@gratiotmi.com,FOIA request email,Manual,2/3/2026,Fulfilled,Email,
Hillsdale County,Hillsdale,Michigan,45746,,portal_url,https://hillsdalecountymi.justfoia.com/publicportal,JustFOIA portal,Manual,2/3/2026,Fulfilled,4FC268F1. request reference number is PRR-2026-41,
East Lansing,Ingham,Michigan,47741,,Portal,https://eastlansingmi.justfoia.com/Forms/Launch/d705cbd6-1396-49b7-939e-8d86c5a87deb,FOIA request portal (City of East Lansing).,Manual,2/3/2026,Sent,2026-18.,
Lansing,Ingham,Michigan,112644,,Portal,https://lansingmi.govqa.us/WEBAPP/_RS/(S(zr3bkrjskdydwdfkvx02zsrf))/SUPPORTHOME.ASPX,FOIA Request portal linked from City Submit page.,Manual,2/3/2026,Sent,C049309-020326,
Ingham County,Ingham,Michigan,284900,,Portal,https://inghamcountymi.mycusthelp.com/WEBAPP/_rs/(S(1ae0ejt1xnuvcz4n4xake2ug))/SupportHome.aspx?sSessionID=&lp=5,Ingham County FOIA Center submission link.,Manual,2/3/2026,Sent,W060746-020326,
Houghton County,Houghton,Michigan,37361,,PDF Form,https://www.houghtoncounty.net/docs/foia.pdf,FOIA PDF; email administrator@houghtoncounty.gov,Manual,2/3/2026,Sent,Email,
Huron County,Huron,Michigan,31407,,Email,FOIARequest@co.huron.mi.us,Huron County FOIA email.,Manual,2/3/2026,Sent,Email,
Ionia County,Ionia,Michigan,66804,,Email,foiacoordinator@ioniacounty.org,Ionia County FOIA coordinator email.,Manual,2/3/2026,Sent,Email,
Iosco County,Iosco,Michigan,25237,,Email,countyclerk@ioscocounty.org,County Clerk FOIA contact.,Manual,2/3/2026,Sent,Email,
Jackson,Jackson,Michigan,31309,,Portal,https://cityofjacksonmi.nextrequest.com/,Backup by email: FOIA@cityofjackson.org,Manual,2/3/2026,Fulfilled,NextRequest,
Kalamazoo,Kalamazoo,Michigan,73598,,Portal,https://www.kalamazoocity.org/Government/Request-Public-Documents-FOIA,Backup by email: FOIA@kalamazoocity.org,Manual,2/3/2026,Sent,,
Portage,Kalamazoo,Michigan,48891,,Portal,https://portagemi.justfoia.com/publicportal,FOIA records request public portal,Manual,2/3/2026,Sent,PR-2026-15.,
Grand Rapids,Kent,Michigan,198917,,Portal,https://grandrapidsmi.justfoia.com/publicportal,FOIA coordinator email: foiareq@grcity.us,Manual,2/3/2026,Fulfilled,8FF69BE4. request reference number is PR-2026-90.,
Wyoming,Kent,Michigan,76501,,Email,clerk_info@wyomingmi.gov,Send FOIA requests to the City Clerk/FOIA Coordinator (mail option available on the City FOIA page),Manual,2/3/2026,Sent,Email,
Kent County,Kent,Michigan,657974,,portal_url,https://app.kentcountymi.gov/FOIA/loadAppSettingsPublic.action,Official Kent County FOIA submission portal,Manual,2/3/2026,Sent,Request ID is: 2026-241300965.,
Livingston County,Livingston,Michigan,193866,,pdf_form,https://milivcounty.gov/wp-content/uploads/FOIA-Request-Form.pdf,Email completed form to countyclerk@livgov.com,PDF Form,2/3/2026,Sent,PDF + Email,
Eastpointe,Macomb,Michigan,34318,,email,EastpointeFOIA@eastpointecity.org,City FOIA public records email,Manual,2/3/2026,Sent,Email,
Sterling Heights,Macomb,Michigan,134338,,portal_url,https://cityofsterlingheightsmi.nextrequest.com/,FOIA info page + email option: foia@sterlingheights.gov,Manual,2/3/2026,Fee Qoute,$103.53 ,
Warren,Macomb,Michigan,139387,,portal_url,https://www.cityofwarren.org/departments/communications-department/freedom-of-information-act-request/,Online FOIA request form on the city site,Manual,2/3/2026,Sent,CustomPortal,
Roseville,Macomb,Michigan,47710,,portal_url,https://www.roseville-mi.gov/FormCenter/Roseville-Forms-7/Freedom-of-Information-Request-FOIA-CLER-63,City Clerk is FOIA Coordinator,Manual,2/3/2026,Fulfilled,FormCenter,
St. Clair Shores,Macomb,Michigan,58872,Fulfilled,email,cityclerk@scsmi.net,Submit records request to City Clerk,Manual,2/3/2026,Sent,Email,
Macomb County,Macomb,Michigan,881217,,email,foia@macombgov.org,County FOIA Coordinator Ã¢â‚¬â€œ Office of Corporation Counsel,Manual,2/3/2026,Sent,Email,
Midland,Midland,Michigan,42547,,portal_url,https://cityofmidlandmi.gov/FormCenter/Clerk-20/Freedom-of-Information-Act-Request-Form-102,City FOIA page links to the online request form,Manual,2/3/2026,Fulfilled,FormCenter,
Monroe County,Monroe County,Michigan,154809,,pdf_form,https://www.co.monroe.mi.us/DocumentCenter/View/660/FOIA-Request-Form-PDF,"FOIA request form; submit to Monroe County (courthouse address on form: 125 E. Second St, Monroe, MI 48161; phone 734-240-7003). Form indicates 'email to address above' but no explicit email listed on the form.",PDF Form,2/3/2026,Denied,No Records,
Muskegon,Muskegon,Michigan,38318,,email,clerk@shorelinecity.com,City of Muskegon FOIA: send non-police/public safety requests to City Clerk email. Police/public safety records: policerecords@shorelinecity.com.,Manual,2/3/2026,Sent,Email,
Norton Shores,Muskegon,Michigan,25030,,email,FOIA@nortonshores.org,"City FOIA Coordinator (City Clerk). FOIA page also lists mailing address 4814 Henry St, Norton Shores, MI 49441.",Manual,2/3/2026,Fulfilled,Email,
Muskegon County,Muskegon County,Michigan,175824,,portal_url,https://co.muskegon.mi.us/FormCenter/Administration-6/FOIA-Request-for-Public-Records-93,Muskegon County online FOIA request form (Form Center).,Manual,2/3/2026,Denied,No Records,
Oakland County,Oakland County,Michigan,1274395,,portal_url,https://oaklandcountymi.mycusthelp.com/WEBAPP/_rs/%28S%280kdaavlsy5z0txmygdex0dqq%29%29/SupportHome.aspx,"Oakland County FOIA Request Center (GovQA Public Records Center). If portal access fails, county page lists backup contact email: corpcounsel@oakgov.com.",Manual,2/3/2026,Denied,Must Request through Cities/Towns,
Farmington Hills,Oakland,Michigan,83986,,email,FOIA-Clerk@fhgov.com,Return completed 'Request for Public Records (FOIA) Form' to City Clerk/FOIA Coordinator via email.,Manual,2/3/2026,Sent,Email,
Madison Heights,Oakland,Michigan,29247,,email,cherylrottmann@madison-heights.org,"Per City FOIA public summary, email FOIA requests with subject 'FOIA' or 'FOIA Request' to this address.",Manual,2/3/2026,Fulfilled,Email,
Novi,Oakland,Michigan,67675,,portal,https://cityofnovi.org/services/city-clerk/freedom-of-information-records-request/,City FOIA Request Center portal (submit + track requests).,Manual,2/3/2026,Sent,N000055-020326,
Oak Park,Oakland,Michigan,29314,,email,clerk@oakparkmi.gov,City Clerk/FOIA contact email (portal/PDF not reliably accessible via tool due to site restrictions).,Manual,2/3/2026,Sent,Email,
Pontiac,Oakland,Michigan,62528,,email,foia@pontiac.mi.us,Email FOIA requests with subject 'FOIA' or 'FOIA Request' (per City public summary).,Manual,2/3/2026,Sent,Email,
Rochester Hills,Oakland,Michigan,76827,,email,clerksoffice@rochesterhills.org,Email FOIA requests with subject 'FOIA' or 'FOIA Request' (per City public summary).,Manual,2/3/2026,Sent,Email,
Royal Oak,Oakland,Michigan,59210,Denied,portal,https://www.romi.gov/1742/Freedom-of-Information-Act-FOIA,Online FOIA request form (city site links to this portal).,Manual,2/3/2026,Denied,No Records,
Southfield,Oakland,Michigan,76874,,portal,https://www.cityofsouthfield.com/freedom-information-act,City FOIA online form portal.,Manual,2/3/2026,Fulfilled,CustomPortal,
Troy,Oakland,Michigan,89209,,pdf_form,clerk@troymi.gov,"Use City Clerk FOIA page; if using a FOIA form, send requests to City Clerk/FOIA Coordinator via City Clerk's Office (main line 248-524-3300).",Manual,2/3/2026,Sent,Email,
Holland,Ottawa,Michigan,34378,,email,HCCityFOIA@cityofholland.com,FOIA instructions: https://www.cityofholland.com/171/Freedom-of-Information-Act-FOIA-Requests (include 'FOIA Request' in subject line). Police records (if needed): HCPOLICEFOIA@cityofholland.com,Manual,2/3/2026,Denied,No Records,
Ottawa County,Ottawa,Michigan,296200,,portal,https://app.miottawa.org/FOIA/,FOIA Tracker portal (account registration required to submit online).,Manual,2/3/2026,Denied,No Records,
Saginaw,Saginaw,Michigan,44202,,email,FOIA@saginaw-mi.com,FOIA Request Form PDF: https://www.saginaw-mi.com/DocumentCenter/View/436/Request-of-Public-Record-FOIA-Request-Form-Fillable--Attachment-A-PDF,Manual,2/3/2026,Sent,Email,
Shiawassee County,Shiawassee,Michigan,68094,,Email,foia@shiawassee.net,FOIA requests submitted via email to the County Administration FOIA inbox.,Manual,2/3/2026,Fulfilled,Email,
St. Clair County,St. Clair,Michigan,160383,,Email,foia@stclaircounty.org,Use subject line 'FOIA' or 'FOIA Request'.,Manual,2/3/2026,Denied,No Records,
Port Huron,St. Clair,Michigan,28983,,Email,clerk@porthuron.org,City Clerk FOIA email.,Manual,2/3/2026,Sent,Email,
St. Joseph County,St. Joseph,Michigan,60939,,Portal,https://stjosephcountymi.justfoia.com/,Public JustFOIA portal.,Manual,2/3/2026,Sent,CustomPortal,
Tuscola County,Tuscola,Michigan,53323,,PDF Form,https://www.tuscolacounty.org/doc/FOIA%20Request%20Form.pdf,Submit to ControllerÃ¢â‚¬â„¢s Office per form instructions.,PDF Form,2/3/2026,Sent,PDF + Email,
Van Buren County,Van Buren,Michigan,75587,,Portal,https://vanburencountymi.gov/forms/vbc-foia-request-for-public-records/,County FOIA request form.,Manual,2/3/2026,Sent,CustomPortal,
Ann Arbor,Washtenaw,Michigan,123851,,email,cityclerk@a2gov.org,City Clerk / FOIA Coordinator,Manual,2/3/2026,Fulfilled,Email,
Washtenaw County,Washtenaw,Michigan,372258,,email,foia@washtenaw.org,Official Washtenaw County FOIA contact email,Manual,2/3/2026,Sent,Email,
Allen Park,Wayne,Michigan,28638,,email,mmizzi@cityofallenpark.org,Non-public-safety FOIA email,Manual,2/3/2026,Sent,Email,
Dearborn,Wayne,Michigan,109976,,email,FOIA@dearborn.gov,City FOIA contact,Manual,2/3/2026,Sent,Email,
Dearborn Heights,Wayne,Michigan,63292,,email,FOIA@ci.dearborn-heights.mi.us,MayorÃ¢â‚¬â„¢s Office FOIA,Manual,2/3/2026,Sent,Email,
Detroit,Wayne,Michigan,639111,,email,FOIA@detroitmi.gov,Non-police FOIA,Manual,2/3/2026,Sent,Email,
Garden City,Wayne,Michigan,26410,,email,FOIA@gardencitymi.org,City FOIA email,Manual,2/3/2026,Fulfilled,Email,
Hamtramck,Wayne,Michigan,28433,,email,Rfaraj@HamtramckCity.com,FOIA Request Form email,Manual,2/3/2026,Sent,Email,
Inkster,Wayne,Michigan,26088,,email,FOIA@cityofinkster.com,City FOIA email,Manual,2/3/2026,Sent,Email,
Lincoln Park,Wayne,Michigan,40245,,email,foia@citylp.com,City FOIA email,Manual,2/3/2026,Sent,Email,
Livonia,Wayne,Michigan,95535,,Portal URL,https://livonia.gov/FormCenter/City-Clerk-13/Public-Records-Request-98,Alt: law@livonia.gov (City FOIA Coordinator),Manual,2/3/2026,Fee Qoute,58.2,
Southgate,Wayne,Michigan,29285,,PDF Form,https://www.southgatemi.org/FOIA%20Request%20Form%20Jan%202026.pdf,Email FOIA requests to clerk@southgatemi.gov,PDF Form,2/3/2026,Sent,PDF + Email,
Taylor,Wayne,Michigan,70811,,Portal URL,https://www.cityoftaylor.com/FormCenter/City-Clerk-Forms-12/Freedom-of-Information-Act-Request-Form-63,City Clerk FOIA FormCenter,Manual,2/3/2026,Fulfilled,FormCenter,
Westland,Wayne,Michigan,84094,,Portal URL,https://www.cityofwestland.com/FormCenter/Freedom-of-Information-Act-11/Freedom-of-Information-Act-Request-for-P-65,FOIA@cityofwestland.com,Manual,2/3/2026,Fulfilled,FormCenter,
Wyandotte,Wayne,Michigan,25058,,PDF Form,https://cms6.revize.com/revize/wyandottemi/archived_docs/FOIA.pdf,Submit via City FOIA Coordinator,PDF Form,2/3/2026,Fulfilled,PDF + Email,
Wayne County,Wayne,Michigan,1793561,,Portal URL,https://www.waynecountymi.gov/Services/Records/FOIA-Request-Form-General,Alt: foiarequests@waynecountymi.gov,Manual,2/3/2026,Denied,No Records,
Canton Charter Township,Wayne,Michigan,98659,,Portal URL,https://cantontownshipmi.nextrequest.com/,Township FOIA portal,Manual,2/3/2026,Sent,NextRequest,
Farmington Hills,Oakland,Michigan,83986,,Email,FOIA-Clerk@fhgov.com,City Clerk FOIA,Manual,2/3/2026,Sent,Email,
Ann Arbor,Washtenaw,Michigan,123851,,Portal URL,https://www.a2gov.org/city-clerk/records-request-foia/,Email: cityclerk@a2gov.org,Manual,2/3/2026,Sent,CustomPortal,
Mankato,Blue Earth,Minnesota,44488,,Portal,https://cityofmankatomn.nextrequest.com/requests/new?dept_id=32127,City of Mankato official public records portal (NextRequest).,Manual,2/3/2026,Sent,Request #26-352,
Chaska,Carver,Minnesota,27810,,Portal,https://cityofchaskamn.nextrequest.com/,City of Chaska official public records portal (NextRequest).,Manual,2/3/2026,Sent,Request #26-12,
Chanhassen,Carver,Minnesota,25947,,Portal,https://cityofchanhassenmn.nextrequest.com/requests/new,City of Chanhassen official public records portal (NextRequest).,Manual,2/3/2026,Fulfilled,NextRequest,
Moorhead,Clay,Minnesota,44505,,Portal,https://apps.cityofmoorhead.com/DataRequests/,City data request form (public records),Manual,2/3/2026,Fulfilled,CustomPortal,
Apple Valley,Dakota,Minnesota,56374,,Portal,https://cityofapplevalleymn.nextrequest.com/,City Clerk Christina Scipioni - Christina.Scipioni@applevalleymn.gov,Manual,2/3/2026,Fulfilled,Request #26-413,
Burnsville,Dakota,Minnesota,64317,,Portal,https://burnsvillemn.govqa.us/WEBAPP/_rs/supporthome.aspx,City Clerk - macheal.collins@burnsvillemn.gov,Manual,2/3/2026,Sent,C010231-020326,
Eagan,Dakota,Minnesota,68855,,Portal,https://cityofeaganmn.nextrequest.com/requests/new,NextRequest portal,Manual,2/3/2026,Fulfilled,NextRequest,
Inver Grove Heights,Dakota,Minnesota,35801,,Portal,https://invergroveheightsmn.justfoia.com/publicportal,JustFOIA portal,Manual,2/3/2026,Sent,PR-2026-62. Your security key is 034F8D7A.,
Lakeville,Dakota,Minnesota,69490,,Portal,https://lakevillemn.justfoia.com/publicportal/home/newrequest,JustFOIA portal (Building/Inspection records),Manual,2/3/2026,Sent,CITY2026-23 and your security key is F6B60223.,
Rosemount,Dakota,Minnesota,25650,,Portal,https://rs-forms.rosemountmn.gov/Forms/Data-Request,City public records/data request online form. City Clerk: cityclerk@ci.rosemount.mn.us,Manual,2/3/2026,Sent,CustomPortal,
Dakota County,Dakota,Minnesota,439882,,Email,data.practices@co.dakota.mn.us,County Data Practices page: https://www.co.dakota.mn.us/Government/DataPractices/Pages/default.aspx,Manual,2/3/2026,Sent,Email,
Bloomington,Hennepin,Minnesota,89987,,Portal,https://bloomingtonmn.justfoia.com/publicportal,City JustFOIA public records/data practices portal.,Manual,2/3/2026,Sent,2026-70. Security Key: B1955838.,
Brooklyn Center,Hennepin,Minnesota,33782,,Portal,https://brooklyncentermn.justfoia.com/publicportal,City JustFOIA public records/data practices portal.,Manual,2/3/2026,Sent,IDR-2026-24 and your security key is 6CBFA9B5.,
Brooklyn Park,Hennepin,Minnesota,86478,,Portal,https://brooklynparkmn.justfoia.com/publicportal,City JustFOIA public records/data practices portal.,Manual,2/3/2026,Sent,9E019F6B. request reference number is PRR-2026-46.,
Eden Prairie,Hennepin,Minnesota,64198,,Portal,https://hennepincountymn.govqa.us/WEBAPP/_rs/supporthome.aspx,Using county portal (city portal not reliable).,Manual,2/3/2026,Sent,D059646-020326,
Edina,Hennepin,Minnesota,53494,,Portal,https://www.edinamn.gov/FormCenter/Contact-UsShare-a-Concern-33/Public-Data-Request-Minnesota-Government-235,City public data request form.,Manual,2/3/2026,Sent,FormCenter,
Maple Grove,Hennepin,Minnesota,70253,,Portal,https://maplegrovemn.justfoia.com/publicportal,City JustFOIA public records portal.,Manual,2/3/2026,Sent,CRR2026-51. Security Key is: 05F4BB1F.,
Minneapolis,Hennepin,Minnesota,429954,,Portal,https://www.minneapolismn.gov/government/government-data/request-public-data/request-public-data-form/,City Request Public Data form.,Manual,2/3/2026,Sent,Email,
Minnetonka,Hennepin,Minnesota,53781,,Portal,https://minnetonkamn.mycusthelp.com/WEBAPP/_rs/supporthome.aspx,City public records request system.,Manual,2/3/2026,Fulfilled,D062796-020326,
Plymouth,Hennepin,Minnesota,78551,,Portal,https://www.plymouthmn.gov/departments/administrative-services/city-clerk/data-request-form,Send completed form to Plymouth City Clerk (Jodi Gallup): jgallup@plymouthmn.gov,Manual,2/3/2026,Fulfilled,CustomPortal,
Richfield,Hennepin,Minnesota,36491,,Portal,https://richfieldmn.govqa.us/WEBAPP/_rs/(S(jxn4z0jyqvzdkjhgbbb40kiv))/SupportHome.aspx?LP=2,Send completed form to: datarequest@richfieldmn.gov,Manual,2/3/2026,Fulfilled,C009157-020326,
Kandiyohi County,Kandiyohi,Minnesota,43732,,Email,auditor@co.kandiyohi.mn.us,Send Minnesota Data Practices request for property/building code violation records to the County Auditor/Treasurer (Responsible Authority contact).,Manual,2/3/2026,Sent,Email,
Le Sueur County,Le Sueur,Minnesota,28674,,Email,dmongie@co.le-sueur.mn.us,Send Minnesota Data Practices request to the Auditor/Treasurer. County Data Practices policy and form available on official county site.,Manual,2/3/2026,Sent,Email,
McLeod County,McLeod,Minnesota,36771,,Email,connie.kurtzweg@mcleodcountymn.gov,Send Minnesota Data Practices request to County Auditor/Treasurer.,Manual,2/3/2026,Sent,Email,
Austin,Mower,Minnesota,26174,,portal_url,https://www.ci.austin.mn.us/administration/city-clerk/request-for-data,City Request for Data page (MGDPA). Printable PDF form: https://www.ci.austin.mn.us/Administration/Data-Request-Form.pdf,Manual,2/3/2026,Fulfilled,CustomPortal,
Rochester,Olmsted County,Minnesota,121395,,portal,https://rochestermn.govqa.us/WEBAPP/_rs/supporthome.aspx,City Clerk Records page directs public data/records requests to the CityÃ¢â‚¬â„¢s Public Records Center (GovQA).,Manual,2/3/2026,Fee Qoute,"$2,015.14.",
Olmsted County,Olmsted,Minnesota,162847,Sent,portal,https://ocwebdocs.co.olmsted.mn.us/Forms/datapracticerequestform,Olmsted County Data Practice Request form.,Manual,2/3/2026,Fulfilled,CustomPortal,
Roseville,Ramsey,Minnesota,36254,,portal,https://www.cityofroseville.com/2821/Data-Practices-Request,Submit a Minnesota Government Data Practices Act request for property-related/building code or code-enforcement records.,Manual,2/3/2026,Sent,Email,
Shoreview,Ramsey,Minnesota,26921,,portal,https://portal.laserfiche.com/h0914/forms/bJK01,Online Request for information form for data requests. Ask for property maintenance/code enforcement + building/inspection violation records.,Manual,2/3/2026,Sent,Laserfiche,
St. Paul,Ramsey,Minnesota,311483,,portal,https://www.stpaul.gov/datarequest,City Data Practices Center. Use Data Practices Act Request for code/building violation records.,Manual,2/3/2026,Sent,D118389-020326,
Ramsey County,Ramsey,Minnesota,552352,,portal,https://ramseycounty.govqa.us/WEBAPP/_rs,County public data request portal for property/building/code enforcement records.,Manual,2/3/2026,Denied,No Records,
Duluth,St. Louis,Minnesota,86697,,public_records_email,clerks@duluthmn.gov,City Clerk handles MN Government Data Practices requests; https://duluthmn.gov/city-clerk/data-practices-resources/,Manual,2/3/2026,Sent,Email,
Elk River,Sherburne,Minnesota,25835,,public_records_email,drobertson@ElkRiverMN.gov,Data Practices Compliance Official; https://www.elkrivermn.gov/DocumentCenter/View/2424,Manual,2/3/2026,Fulfilled,Email,
Prior Lake,Scott,Minnesota,27617,,public_records_email,info@PriorLakeMN.gov,City data requests page; https://www.priorlakemn.gov/government/data-requests,Manual,2/3/2026,Sent,Email,
Savage,Scott,Minnesota,32465,,portal_url,https://www.savagemn.gov/i-want-to/police-public-data,Property/Environmental Data Request form,Manual,2/3/2026,Fee Qoute,$55-$65,
Shakopee,Scott,Minnesota,43698,,portal_url,https://www.shakopeemn.gov/government/departments/information_request.php,Information Disclosure Request form,Manual,2/3/2026,Sent,CustomPortal,
Scott County,Scott,Minnesota,150928,,portal_url,https://www.scottcountymn.gov/2216/Request-Data,Official County data request portal,Manual,2/3/2026,Sent,R003521-020326,
St. Louis County,St. Louis,Minnesota,200231,,email,gottschaldj@stlouiscountymn.gov,County Data Practices contact,Manual,2/3/2026,Sent,Email,
Stearns County,Stearns,Minnesota,158292,,portal,https://stearnscountymn.govqa.us/WEBAPP/_rs/(S(fih1okxtg5pnnxmjjvjdzr3h))/SupportHome.aspx?sSessionID=,GovQA Public Records Center,Manual,2/3/2026,Fulfilled,R000440-020326,
Steele County,Steele,Minnesota,37406,,email,SCAO@SteeleCountyMN.gov,County Responsible Authority,Manual,2/3/2026,Denied,No Records,
St. Cloud,Stearns,Minnesota,68881,,email,health@ci.stcloud.mn.us,Health & Inspections Ã¢â‚¬â€œ City Clerk available,Manual,2/3/2026,Sent,Email,
Owatonna,Steele,Minnesota,26420,,email,kris.busse@ci.owatonna.mn.us,City Data Request Form,Manual,2/3/2026,Sent,Email,
Cottage Grove,Washington,Minnesota,42760,,Portal,https://www.cottagegrovemn.gov/181/Requests-for-Information,City Clerk Data Request page,Manual,2/3/2026,Fulfilled,CustomPortal,
Oakdale,Washington,Minnesota,30441,,Email,sara.ludwig@oakdalemn.gov,Use Oakdale Data Request Form PDF,Manual,2/3/2026,Sent,Email,
Woodbury,Washington,Minnesota,80596,,Portal,https://woodburymn.govqa.us/WEBAPP/SupportHome.aspx,GovQA Data Request portal,Manual,2/3/2026,Sent,R000021-020326,
Washington County,Washington,Minnesota,283960,,Portal,https://www.washingtoncountymn.gov/1822/Data-Practices,County Data Practices portal,Manual,2/3/2026,Sent,Email,
Winona,Winona,Minnesota,25948,Sent,pdf_form,https://www.winonamn.gov/DocumentCenter/View/3875,Submit to City Clerk via https://www.winonamn.gov/formcenter/Email-Contact-Forms-19/City-Clerk-Contact-Form-134,PDF Form,2/3/2026,Sent,PDF + Email,
Adams County,Adams,Mississippi,"29,538",,Email,chanceryclerk@adamscountyms.gov,County-level enforcement and records,Manual,2/3/2026,Sent,Email,
Horn Lake,DeSoto,Mississippi,"184,945",,Email,codeviolations@hornlake.org,City Code enforcement email,Manual,2/3/2026,Sent,Email,
Olive Branch,DeSoto,Mississippi,"184,945",,Portal,https://www.obms.us/FormCenter/City-Clerk-Forms-9/City-of-Olive-Branch-Public-Records-Requ-55,City FOIA portal,Manual,2/3/2026,Fee Qoute,$22.00 ,
