County,City,State,Population,Status,Submission Method,Contact Value,Notes,Method,Date,Status,Notes,
Batavia,Genesee,New York,15600,,pdf,https://ny-batavia.civicplus.com/DocumentCenter/View/354/Request-to-Examine-Official-Records-Form,FOIL form PDF. Completed requests can be emailed to City Clerk/Records Access Officer (page lists â€˜Email Heidi J. Parkerâ€™).,Manual,2/25/2026,Sent,hparker@batavianewyork.com,
Little Falls,Herkimer,New York,4605,,email,kmiller@cityoflittlefalls.net,Send FOIL/public records request to City Clerk (Records Access Officer).,Manual,2/25/2026,Sent,Email,
Watertown,Jefferson,New York,24685,,webpage,https://www.watertown-ny.gov/FOILRequests,FOIL Requests page (includes staff email/contact to submit request).,Manual,2/25/2026,Sent,foilrequests@watertown-ny.gov,
Jefferson County,Jefferson,New York,116721,,pdf,https://www.jeffersoncountyny.gov/media/Administration/FOIL%20Request%20form-fillable.pdf,Submit completed FOIL form by email to foil@jeffersoncountyny.gov.,Manual,2/25/2026,Sent,Sent,
Brooklyn (Kings County),Kings,New York,2736074,,portal,https://a860-openrecords.nyc.gov/,NYC OpenRecords portal (use DOB/HPD).,Manual,2/25/2026,Sent,Sent,
Oneida,Madison,New York,11390,,webpage,https://www.oneidacityny.gov/departments/city_clerk/foil_requests.php,Email Records Access Officer: slapera@oneidacityny.gov,Manual,2/25/2026,Sent,slapera@oneidacityny.gov,
Rochester,Monroe,New York,211328,,portal,https://rochesterny.justfoia.com/publicportal,City of Rochester FOIL portal.,Manual,2/25/2026,Sent,Sent,
Monroe County,Monroe,New York,741770,,email,foil@monroecounty.gov,Submit FOIL request by email.,Manual,2/25/2026,Sent,Sent,
Mount Vernon,Westchester,New York,73893,,webpage,https://www.mountvernonny.gov/438/Freedom-Of-Information-Law-FOIL-Requests,FOIL page with online form.,Manual,2/25/2026,Sent,Sent,
NY State Open FOIL NY,Statewide,New York,19540000,,webpage,https://www.ny.gov/programs/open-foil-ny,State FOIL portal.,Manual,2/25/2026,Sent,Sent,
Glen Cove,Nassau,New York,28365,,pdf,https://glencoveny.gov/wp-content/uploads/2022/01/FOIL-Glen-Cove-Updated.pdf,Email form to tpemberton@glencoveny.gov,Manual,2/25/2026,Sent,Sent,
Long Beach,Nassau,New York,33275,,webpage,https://www.longbeachny.gov/index.asp?SEC=3C841025-39C7-416B-800A-E2AD05B85CC7,Online FOIL form page.,Manual,2/25/2026,Sent,Sent,
Nassau County,Nassau,New York,1395774,,portal,https://apex5.nassaucountyny.gov/ords/f?p=FOIL:FOIL_REQUEST,Nassau County FOIL portal.,Manual,2/25/2026,Sent,Sent,
New Rochelle,Westchester,New York,83784,,portal,https://newrochelleny.nextrequest.com/requests/new,NextRequest FOIL portal.,Manual,2/25/2026,Sent,Sent,
New York (NYC),New York,New York,8804190,,portal,https://a860-openrecords.nyc.gov/,NYC OpenRecords portal.,Manual,2/25/2026,Sent,Sent,
Manhattan,New York,New York,1694251,,portal,https://a860-openrecords.nyc.gov/,NYC OpenRecords portal.,Manual,2/25/2026,Sent,Sent,
New York County,New York,New York,1694251,,portal,https://a860-openrecords.nyc.gov/,NYC OpenRecords portal.,Manual,2/25/2026,Sent,Sent,
Lockport,Niagara,New York,20619,,email,cityclerk@lockportny.gov,Submit FOIL to City Clerk.,Manual,2/25/2026,Sent,Email,
Niagara Falls,Niagara,New York,48671,,email,foils@niagarafallsny.gov,Submit FOIL request by email.,Manual,2/25/2026,Sent,Sent,
North Tonawanda,Niagara,New York,30496,,pdf,https://www.northtonawanda.gov/documents/Clerk%20Treasurer/forms/Foil%20Request%20Form%202023_2.pdf,Email to dbraun@northtonawanda.org,Manual,2/25/2026,Sent,Sent,
Rome,Oneida,New York,32127,,webpage,https://romenewyork.com/city-clerk/foil/,Online FOIL submission link.,Manual,2/25/2026,Sent,Sent,
Utica,Oneida,New York,65283,,pdf,https://www.cityofutica.com/Assets/Departments/City-Clerk/Forms/2022/FOIL%20Request%20Application_Edit.pdf,Email to FOIL@cityofutica.com,Manual,2/25/2026,Sent,Sent,
Oneida County,Oneida,New York,228671,,portal,https://lfweb.ocgov.net/Forms/Foil,Oneida County FOIL form.,Manual,2/25/2026,Sent,Sent,
Syracuse,Onondaga,New York,148620,,portal,https://syracuseny.justfoia.com/publicportal,Syracuse FOIL portal.,Manual,2/25/2026,Sent,Sent,
Onondaga County,Onondaga,New York,476516,,portal,https://onondagacountyny.justfoia.com/publicportal,Onondaga County FOIL portal.,Manual,2/25/2026,Sent,Sent,
Canandaigua,Ontario,New York,10576,,webpage,https://www.canandaiguanewyork.gov/203/Freedom-of-Information-Law-FOIL,Email City Clerk.,Manual,2/25/2026,Fulfilled,EVanDamme@CanandaiguaNewYork.Gov,
Geneva,Ontario,New York,12812,,webpage,https://www.cityofgenevany.gov/186/Freedom-of-Information-Laws-FOIL,Email City Clerk.,Manual,2/25/2026,Fulfilled,ntillotson@geneva.ny.us,
Ontario County,Ontario,New York,112458,,portal,https://ontariocountyny.nextrequest.com/requests/new,Ontario County NextRequest portal.,Manual,2/25/2026,Sent,Sent,
Middletown,Orange,New York,30345,,portal,https://cityofmiddletownny.nextrequest.com,Middletown FOIL portal.,Manual,2/25/2026,Sent,Sent,
Newburgh,Orange,New York,28945,,pdf,https://www.cityofnewburgh-ny.gov/DocumentCenter/View/645/FOIL-General-Request-Form-PDF?bidId=,City of Newburgh FOIL forms; submit to City Clerk (Katrina Cotten) per FOIL page.,Manual,2/25/2026,Sent,Sent,
Port Jervis,Orange,New York,8730,,email,clerktreasurer@portjervisny.gov,City Clerk-Treasurer email for FOIL submissions; FOIL request form available on City Clerk page.,Manual,2/25/2026,Sent,Email,
Orange County,Orange County,New York,401310,,webpage,https://www.orangecountygov.com/1039/Freedom-of-Information-Law-FOIL-Informat,Orange County FOIL info page with submission instructions/contacts.,Manual,2/25/2026,Sent,Sent,
Oswego,Oswego,New York,16921,,webpage,https://www.oswegony.org/public-notices/foil-request,City of Oswego FOIL request page with request instructions.,Manual,2/25/2026,Sent,ssaylor@oswegony.org,
Oswego County,Oswego County,New York,117525,,email,foil@oswegocounty.com,County FOIL email (Records Access Officer / FOIL) per county FOIL contact.,Manual,2/25/2026,Sent,Sent,
Oneonta,Otsego,New York,13901,,pdf,https://cms7files1.revize.com/oneonta/departments/City%20Clerk/FOIL%20Request%20Form%20Rev.%2001.2021.pdf,Submit completed FOIL form to Oneonta City Clerk; emails listed on form (kharrington@oneonta.ny.us; bcuozzo@oneonta.ny.us).,Manual,2/25/2026,Sent,kharrington@oneonta.ny.us,
Queens (NYC â€“ DOB/HPD for code violations),Queens County,New York,2405464,,portal,https://a860-openrecords.nyc.gov/,Use NYC OpenRecords portal; select NYC Dept of Buildings (DOB) and/or HPD for property/building/code violations.,Manual,2/25/2026,Sent,Sent,
Rensselaer,Rensselaer,New York,9687,,email,nancy.hardt@rensselaerny.gov,City Clerk email (Nancy E. Hardt). City FOIL page links request form.,Manual,2/25/2026,Sent,Email,
Troy,Rensselaer,New York,50708,,portal,https://troyny.govqa.us/,City of Troy Open Records Portal (GovQA) linked from Troy FOIL Requests page.,Manual,2/25/2026,Sent,Sent,
Rensselaer County,Rensselaer County,New York,158714,,portal,https://www.rensco.com/FormCenter/County-Attorney-4/Freedom-of-Information-Act-FOIL-Requests-46,Rensselaer County FOIL online submission form (County Attorney Form Center).,Manual,2/25/2026,Sent,Sent,
Richmond County (Staten Island) (NYC â€“ DOB/HPD for code violations),Richmond County,New York,495747,Sent,portal,https://a860-openrecords.nyc.gov/,Use NYC OpenRecords portal; select NYC Dept of Buildings (DOB) and/or HPD for property/building/code violations.,Manual,2/25/2026,Sent,Sent,
Rockland County,Rockland County,New York,338329,,portal,https://rocklandcountyny.mycusthelp.com/WEBAPP/_rs/SupportHome.aspx,Rockland County Online FOIL System (MyCivicHelp portal) linked from Rockland County FOIL page.,Manual,2/25/2026,Sent,Sent,
Mechanicville,Saratoga,New York,5163,,email,clerk@mechanicvilleny.gov,City Clerk email for FOIL requests (City of Mechanicville).,Manual,2/25/2026,Sent,Email,
Saratoga Springs,Saratoga,New York,28791,,portal,https://saratogaspringsny.nextrequest.com/requests/new,Saratoga Springs public records request portal (NextRequest).,Manual,2/25/2026,Sent,Sent,
Saratoga County,Saratoga County,New York,235509,,portal,https://saratogacountyny.nextrequest.com/requests/new,Saratoga County public records request portal (NextRequest).,Manual,2/25/2026,Sent,Sent,
Schenectady,Schenectady,New York,67262,,email,corp.counsel@cityofschenectady.gov,"City records access/FOIL handled via Corporation Counsel; use email (if portal required, request portal link from City).",Manual,2/25/2026,Sent,Sent,
Schenectady County,Schenectady County,New York,158061,Sent,webform,https://www.schenectadycountyny.gov/foil,Schenectady County FOIL web form (requires JavaScript).,Manual,2/25/2026,Sent,Sent,
Ogdensburg,St. Lawrence,New York,10171,,email,cityclerk@ogdensburg.org,City Clerk email for FOIL/public records requests.,Manual,2/25/2026,Sent,Email,
Corning,Steuben,New York,10708,,email,,City Clerk email for FOIL/public records requests.,Manual,2/25/2026,Sent,Email,
Hornell,Steuben,New York,8446,,email,,City Clerk/Records Access Officer email for FOIL/public records requests.,Manual,2/25/2026,Sent,Email,
Suffolk County,Suffolk County,New York,1525920,,pdf,https://www.suffolkcountyny.gov/Portals/0/formsdocs/foil_request_form.pdf,Suffolk County FOIL request form PDF (submit per instructions on form; include agency/department).,Manual,2/25/2026,Sent,Sent,
Village of Patchogue,Suffolk County,New York,12728,,portal,https://villageofpatchogueny.nextrequest.com/,Village of Patchogue public records request portal (NextRequest).,Manual,2/25/2026,Fulfilled,Request 26-59,
Ithaca,Tompkins,New York,32108,Fulfilled,portal,https://cityofithaca.org/FormCenter/City-Clerk-22/Freedom-of-Information-Law-FOIL-Request-70,City of Ithaca FOIL request form center (online).,Manual,2/25/2026,Sent,Sent,
Tompkins County,Tompkins County,New York,105740,,portal,https://tompkinscountyny.gov/foil,Tompkins County FOIL page with submission instructions/contacts.,Manual,2/25/2026,Sent,Sent,
Town of Canandaigua,Ontario,New York,11109,Sent,portal,https://www.canandaiguanewyork.gov/279/FOIL-Request,Town of Canandaigua FOIL request page / online form.,Manual,2/25/2026,Sent,evandamme@canandaiguanewyork.gov,
Kingston,Ulster,New York,24052,Fulfilled,portal,https://kingston-ny.nextrequest.com/requests/new,City of Kingston public records request portal (NextRequest).,Manual,2/25/2026,Sent,cityclerk@kingston-ny.gov,
Ulster County,Ulster County,New York,181851,,portal,https://ulstercountyny.gov/foil,Ulster County FOIL request portal/page (county site).,Manual,2/25/2026,Sent,Sent,
Glens Falls,Warren,New York,14509,,email,cityclerk@cityofglensfalls.com,City Clerk email for FOIL/public records requests.,Manual,2/25/2026,Fulfilled,Email,
Warren County,Warren County,New York,65707,,email,foil@warrencountyny.gov,Warren County FOIL email (Records Access Officer).,Manual,2/25/2026,Fulfilled,Sent,
Mount Vernon,Westchester,New York,73177,,portal,https://www.mountvernonny.gov/FormCenter/Law-23/FOIL-Request-Online-Form-77,Mount Vernon online FOIL request form (Form Center).,Manual,2/25/2026,Sent,Sent,
New Rochelle,Westchester,New York,79726,,portal,https://cityofnewrochelleny.nextrequest.com/requests/new,New Rochelle public records request portal (NextRequest).,Manual,2/25/2026,Sent,Sent,
Peekskill,Westchester,New York,25968,,pdf,https://www.cityofpeekskillny.gov/DocumentCenter/View/311/Freedom-of-Information-Law-FOIL-Request-Application?bidId=,Peekskill FOIL Request Application PDF; submit to City Clerk (Cassandra Redd) via 'Email Cassandra Redd' on City Clerk page.,Manual,2/25/2026,Sent,Sent,
Rye,Westchester,New York,16483,Fulfilled,portal,https://www.egovlink.com/rye/action.asp?actionid=17051,Rye online FOIL request form (eGovLink Actionline).,Manual,2/25/2026,Sent,Sent,
White Plains,Westchester,New York,58866,Sent,portal,https://www.cityofwhiteplains.com/FormCenter/Freedom-of-Information-Law-11/Freedom-of-Information-Law-FOIL-Request--70,White Plains online FOIL request form (Form Center).,Manual,2/25/2026,Sent,Sent,
Yonkers,Westchester,New York,211569,,portal,https://www.yonkersny.gov/FormCenter/Corporation-Counsel-7/Freedom-of-Information-Law-FOIL-Request--84,Yonkers online FOIL request form (Form Center).,Manual,2/25/2026,Sent,Sent,
Westchester County,Westchester County,New York,1004457,,webpage,https://publicrecords.westchestergov.com/,Westchester County public records/FOIL page (submission instructions and contacts).,Manual,2/25/2026,Sent,Sent,
Alamance,Alamance,North Carolina,951,,email,,Village clerk email (public records).,Manual,2/25/2026,Sent,Email,
Burlington,Alamance,North Carolina,57303,Sent,portal,https://burlingtonnc.justfoia.com/publicportal/home/newrequest,JustFOIA public portal (direct new request).,Manual,2/25/2026,Sent,Sent,
Glen Raven,Alamance,North Carolina,2984,Fee Quote,email,Dianne.Yancey@alamancecountync.gov,Glen Raven is a CDP (no municipal government). Submit via Alamance County Clerk to the Board / public records contact.,Manual,2/25/2026,Sent,Email,
Graham,Alamance,North Carolina,17157,,email,tory.frink@alamancecountync.gov,City records requests typically routed via Clerk to the Board/records; use county clerk email for Graham-area requests if city portal not available.,Manual,2/25/2026,Sent,Email,
Green Level,Alamance,North Carolina,3032,,email,,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Mebane,Alamance,North Carolina,17883,,email,cityclerk@cityofmebane.com,City clerk email for public records requests.,Manual,2/25/2026,Sent,Email,
Swepsonville,Alamance,North Carolina,1166,,email,,Town clerk email for public records requests.,Manual,2/25/2026,Sent,Email,
Alamance County,Alamance,North Carolina,171415,,email,Dianne.Yancey@alamancecountync.gov,Clerk to the Board / county public records contact email.,Manual,2/25/2026,Sent,Sent,
Taylorsville,Alexander,North Carolina,2104,,email,clerk@taylorsvillenc.com,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Sparta,Alleghany,North Carolina,1780,,email,pchoate@townofsparta.org,Town clerk email (Administration).,Manual,2/25/2026,Sent,Email,
Ansonville,Anson,North Carolina,631,,email,,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Lilesville,Anson,North Carolina,553,,email,,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Peachland,Anson,North Carolina,454,,email,,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Polkton,Anson,North Carolina,375,,email,,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Wadesboro,Anson,North Carolina,5134,,webpage,https://www.townofwadesboro.org/contact-us,Use Contact Us form/page for records (email not published on site page).,Manual,2/25/2026,Sent,dcox@wadesboronc.gov,
Anson County,Anson,North Carolina,24004,,email,clerk@ansoncountync.gov,County clerk email for public records requests (if municipal contact unavailable).,Manual,2/25/2026,Sent,Email,
Lansing,Ashe,North Carolina,132,,email,clerk.lansingnc@gmail.com,Town clerk email (from official notices).,Manual,2/25/2026,Sent,Email,
West Jefferson,Ashe,North Carolina,1341,,email,admin@townofwj.com,General town administration email used for records requests (clerk email not clearly published).,Manual,2/25/2026,Sent,Email,
Banner Elk,Avery,North Carolina,1177,,email,townclerk@townofbannerelk.org,Town clerk email for records.,Manual,2/25/2026,Sent,Email,
Seven Devils,Avery,North Carolina,245,,email,townclerk@sevendevils.net,Town clerk email for records.,Manual,2/25/2026,Sent,Email,
Aurora,Beaufort,North Carolina,455,,email,townofaurora@auroranc.org,Town clerk/records email (published in town docs).,Manual,2/25/2026,Sent,Email,
Bath,Beaufort,North Carolina,229,,webpage,https://townofbathnc.com/contactus/,Contact page for Town of Bath (submit request to town staff/clerk via contact form).,Manual,2/25/2026,Sent,CustomPortal,
Belhaven,Beaufort,North Carolina,1410,,email,townclerk@townofbelhaven.com,Town clerk email (public records).,Manual,2/25/2026,Sent,Email,
Chocowinity,Beaufort,North Carolina,722,,email,mpeele@chocowinitync.gov,Town email published on official site; use for public records requests.,Manual,2/25/2026,Sent,Email,
Pantego,Beaufort,North Carolina,164,Sent,email,records@beaufortcountync.gov,No reliable town clerk email/portal located; route requests via Beaufort County public records contact.,Manual,2/25/2026,Sent,Email,
Washington,Beaufort,North Carolina,9750,,email,cbennett@washingtonnc.gov,City contact email (use for records requests).,Manual,2/25/2026,Sent,Email,
Beaufort County,Beaufort,North Carolina,47475,,email,records@beaufortcountync.gov,County public records contact email.,Manual,2/25/2026,Sent,Sent,
Aulander,Bertie,North Carolina,763,,email,townofaulander@gmail.com,Town contact email used for requests.,Manual,2/25/2026,Sent,Email,
Colerain,Bertie,North Carolina,217,,email,townofcolerain@mediacombb.net,Town clerk email from NC DEQ municipal contact record.,Manual,2/25/2026,Sent,Email,
Kelford,Bertie,North Carolina,203,,email,townofkelford@gmail.com,Town clerk email published in NC DEQ municipal contact record.,Manual,2/25/2026,Sent,Email,
Windsor,Bertie,North Carolina,3582,,email,acastelloe@windsornc.com,Town administration email (staff directory).,Manual,2/25/2026,Sent,Email,
Bertie County,Bertie,North Carolina,17633,,email,commissioners@bertie.nc.gov,County commissioners general email (use to route public records requests).,Manual,2/25/2026,Sent,Email,
Bladenboro,Bladen,North Carolina,1648,,email,PBowen@bladenboronc.org,Town Clerk/Tax Collector email (official site).,Manual,2/25/2026,Sent,Email,
Clarkton,Bladen,North Carolina,614,,email,clerk@clarktonnc.gov,Town Clerk email (Town of Clarkton contact).,Manual,2/25/2026,Sent,Email,
Dublin,Bladen,North Carolina,267,,email,dublintownhall@netscape.net,Town Hall email listed for Dublin (Bladen County).,Manual,2/25/2026,Sent,Email,
Elizabethtown,Bladen,North Carolina,3296,,email,jhester@elizabethtownnc.org,Town Clerk email (Elizabethtown).,Manual,2/25/2026,Sent,Email,
White Lake,Bladen,North Carolina,843,,email,townclerk@whitelakenc.org,Town Clerk email (White Lake).,Manual,2/25/2026,Sent,Email,
Bald Head Island,Brunswick,North Carolina,268,,webpage,https://villagebhi.org/residents-owners/submit-a/request-a-public-record/,Public records request page.,Manual,2/25/2026,Sent,PDF + Email,
Belville,Brunswick,North Carolina,2406,,email,sniemann@townofbelville.com,Town Clerk email.,Manual,2/25/2026,Sent,Email,
Boiling Spring Lakes,Brunswick,North Carolina,5943,,webpage,https://www.cityofbsl.org/city-facts,City site; PRR contact needed.,Manual,2/25/2026,Sent,tshannon@cityofbsl.org,
Holden Beach,Brunswick,North Carolina,921,,email,heather@hbtownhall.com,Town Clerk email.,Manual,2/25/2026,Sent,Email,
Oak Island,Brunswick,North Carolina,8068,Fee Quote,portal,https://oakislandnc.nextrequest.com/,NextRequest portal.,Manual,2/25/2026,Sent,Request #26-19,
Brunswick County,Brunswick,North Carolina,136693,,webpage,https://www.brunswickcountync.gov/179/Public-Record-Requests,County PRR page.,Manual,2/25/2026,Sent,Sent,
Asheville,Buncombe,North Carolina,94067,,portal,https://cityofashevillenc.justfoia.com/publicportal,JustFOIA portal.,Manual,2/25/2026,Sent,Sent,
Black Mountain,Buncombe,North Carolina,8426,,portal,https://townofblackmountainnc.nextrequest.com/,NextRequest portal.,Manual,2/25/2026,Sent,Request 26-41,
Montreat,Buncombe,North Carolina,1928,,webform,https://townofmontreat.org/records-request-form/,Records request form.,Manual,2/25/2026,Sent,CustomPortal,
Woodfin,Buncombe,North Carolina,7686,,webpage,https://www.woodfin-nc.gov/departments/recordsrequest.php,PRR page.,Manual,2/25/2026,Sent,CustomPortal,
Fairview,Buncombe,North Carolina,3146,,email,tgregorius@fairviewnc.gov,Town Clerk email.,Manual,2/25/2026,Sent,Email,
Weaverville,Buncombe,North Carolina,4936,,email,tmercer@weavervillenc.org,Town Clerk email.,Manual,2/25/2026,Sent,Email,
Buncombe County,Buncombe,North Carolina,269452,,webform,https://buncombecounty-transparency.form.transform.civicplus.com/49991,County PRR form.,Manual,2/25/2026,Sent,Sent,
Glen Alpine,Burke,North Carolina,1643,,email,creed@townofglenalpine.org,Town email.,Manual,2/25/2026,Fulfilled,Email,
Hildebran,Burke,North Carolina,2016,,email,townhall@hildebrannc.org,Town Hall email.,Manual,2/25/2026,Sent,Email,
Morganton,Burke,North Carolina,17474,Sent,email,cityclerk@morgantonnc.gov,City Clerk email.,Manual,2/25/2026,Sent,Email,
Valdese,Burke,North Carolina,4452,Fulfilled,email,jlail@valdesenc.gov,Town Clerk email.,Manual,2/25/2026,Sent,Email,
Cabarrus County,Cabarrus,North Carolina,225804,,portal,https://cabarruscounty.justfoia.com/publicportal,JustFOIA portal.,Manual,2/25/2026,Sent,Sent,
Concord,Cabarrus,North Carolina,105240,,email,deasonk@concordnc.gov,City Clerk email.,Manual,2/25/2026,Sent,Sent,
Kannapolis,Cabarrus,North Carolina,53114,,email,KPD_records@kannapolisnc.gov,Police records; city clerk for building/code.,Manual,2/25/2026,Sent,Sent,
Midland,Cabarrus,North Carolina,5114,,Email,ssuggs@midlandnc.us,Town Clerk (public records custodian),Manual,2/25/2026,Sent,Email,
Mount Pleasant,Cabarrus,North Carolina,1688,,Email,amy@mtpleasantnc.us,Town Clerk (public records requests),Manual,2/25/2026,Sent,Email,
Concord,Cabarrus County,North Carolina,105240,,Portal,https://concordnc.justfoia.com/publicportal/home/newrequest,JustFOIA,Manual,2/25/2026,Sent,Sent,
Cabarrus County,Cabarrus County,North Carolina,225804,,Portal,https://cabarruscounty.justfoia.com/publicportal,County public records request portal (JustFOIA),Manual,2/25/2026,Sent,Sent,
Granite Falls,Caldwell,North Carolina,5161,,Email,paula.kirby@granitefallsnc.gov,Town Clerk (public records requests),Manual,2/25/2026,Sent,Email,
Lenoir,Caldwell,North Carolina,17890,,Email,cityclerk@cityoflenoir.com,City Clerk (public records requests),Manual,2/25/2026,Sent,Email,
Rhodhiss,Caldwell,North Carolina,1070,Sent,Email,tammy@townofrhodhiss.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Sawmills,Caldwell,North Carolina,5082,,Email,clerk@townofsawmillsnc.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Atlantic Beach,Carteret,North Carolina,1495,,Email,townclerk@atlanticbeach-nc.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Beaufort,Carteret,North Carolina,4741,,Email,r.johnson@beaufortnc.org,Town staff email listed on official Contact Us page; ask to route to Town Clerk for public records,Manual,2/25/2026,Sent,Email,
Bogue,Carteret,North Carolina,1091,,Email,boguetown@outlook.com,Town email listed on official Contact Us page,Manual,2/25/2026,Sent,Email,
Cape Carteret,Carteret,North Carolina,2661,,Email,hleffingwell@capecarteret.org,Town Clerk (email cited in official town communications),Manual,2/25/2026,Sent,Email,
Cedar Point,Carteret,North Carolina,1878,,Email,jbeyer@cedarpointnc.org,Town Clerk,Manual,2/25/2026,Sent,Email,
Emerald Isle,Carteret,North Carolina,3934,,Email,jwelborn@emeraldisle-nc.org,Town Clerk (public records custodian),Manual,2/25/2026,Sent,Email,
Harkers Island,Carteret,North Carolina,1146,,Email,publicrecords@carteretcountync.gov,Email,Manual,2/25/2026,Sent,Email,
Morehead City,Carteret,North Carolina,9220,,Email,administration@moreheadcitync.org,City administration email listed on official site; request routing to City Clerk (public records),Manual,2/25/2026,Sent,Email,
Newport,Carteret,North Carolina,4688,,Email,townclerk@newportnc.gov,Town Clerk,Manual,2/25/2026,Sent,Email,
Milton,Caswell,North Carolina,226,,Email,swilson2223@gmail.com,Town Clerk (listed by Caswell County / Town of Milton),Manual,2/25/2026,Sent,Email,
Catawba,Catawba,North Carolina,603,,Email,kathy.johnson@townofcatawbanc.org,Town Clerk,Manual,2/25/2026,Sent,Email,
Claremont,Catawba,North Carolina,1714,,Email,whelms@cityofclaremont.org,City Clerk,Manual,2/25/2026,Sent,Email,
Conover,Catawba,North Carolina,8421,,Email,Stephanie.Watson@conovernc.gov,City Clerk,Manual,2/25/2026,Sent,Email,
Hickory,Catawba,North Carolina,43490,,Email,dmiller@hickorync.gov,City Clerk (public records requests),Manual,2/25/2026,Sent,Sent,
Long View,Catawba,North Carolina,5340,,Email,townclerk@longviewnc.gov,Town Clerk,Manual,2/25/2026,Sent,Email,
Maiden,Catawba,North Carolina,4484,,Email,ahughey@maidennc.gov,Town Clerk,Manual,2/25/2026,Sent,Email,
Newton,Catawba,North Carolina,13148,,Email,afalowski@newtonnc.gov,City Clerk (public records custodian),Manual,2/25/2026,Sent,Email,
Catawba County,Catawba County,North Carolina,160610,,Email,catawba.county@catawbacountync.gov,County general email; request should be routed to County Manager/Clerk for public records,Manual,2/25/2026,Sent,Sent,
Pittsboro,Chatham,North Carolina,4537,,Portal,https://pittsboronc.gov/463/Public-Records-Request,Public records request form (Town),Manual,2/25/2026,Fulfilled,FormCenter,
Siler City,Chatham,North Carolina,7887,,Email,clerk@silercity.org,Town Clerk,Manual,2/25/2026,Sent,Email,
Andrews,Cherokee,North Carolina,1602,,Email,ali.huls@andrewsnc.org,Town email posted by Town of Andrews (request routing to Finance Officer/Town Clerk for records),Manual,2/25/2026,Sent,Email,
Edenton,Chowan,North Carolina,4824,,Portal,https://town-of-edenton-nc.nextrequest.com/requests,NextRequest public records portal,Manual,2/25/2026,Sent,Request 26-59,
Hayesville,Clay,North Carolina,311,,Email,clerk@townofhayesville.com,Public records requests to Town Clerk.,Manual,2/25/2026,Sent,Email,
Boiling Springs,Cleveland,North Carolina,4464,,Portal,https://www.boilingspringsnc.net/232/Public-Records,Public Records page (includes request options/forms).,Manual,2/25/2026,Sent,tracy.holland@boilingspringsnc.gov,
Grover,Cleveland,North Carolina,708,,Email,c.williams@townofgrovernc.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Kings Mountain,Cleveland,North Carolina,10296,,Portal,https://www.cityofkm.com/FormCenter/Administration-14/Request-for-Public-Records-Form-69,City of Kings Mountain Public Records Request Form.,Manual,2/25/2026,Fulfilled,FormCenter,
Lattimore,Cleveland,North Carolina,536,,Email,info@lattimorenc.gov,Use town general inbox (listed on official site).,Manual,2/25/2026,Sent,Email,
Lawndale,Cleveland,North Carolina,575,,Portal,https://townoflawndalenc.com/public-information-request,Public Information Request instructions; submit written request (contact form has City Clerk option).,Manual,2/25/2026,Sent,CustomPortal,
Mooresboro,Cleveland,North Carolina,319,Fulfilled,Email,contact@townofmooresboro.org,Email listed for Town Clerk on NC DEQ report; use for records requests.,Manual,2/25/2026,Sent,Email,
Polkville,Cleveland,North Carolina,413,,Email,mayor@polkvillenc.gov,Mayor email listed on town site; request records routing to clerk/records custodian.,Manual,2/25/2026,Sent,Email,
Shelby,Cleveland,North Carolina,21918,,Email,carol.williams@cityofshelby.com,City Clerk,Manual,2/25/2026,Sent,Sent,
Chadbourn,Columbus,North Carolina,1746,,Email,Manager@townofchadbourn.com​,Town Clerk,Manual,2/25/2026,Sent,Email,
Whiteville,Columbus,North Carolina,5340,,Portal,https://www.google.com/url?client=internal-element-cse&cx=76b647d8e4f5a44b6&q=https://www.whitevillenc.gov/city-clerk&sa=U&ved=2ahUKEwjZ0c70kqiSAxUoGVkFHRQ9K-kQFnoECAMQAQ&usg=AOvVaw3LmOOP8wm-3IngcGzHmykd,City of Whiteville Public Records Request page (online request form).,Manual,2/25/2026,Sent,hdowless@ci.whiteville.nc.us,
Bridgeton,Craven,North Carolina,350,,Email,townhall@townofbridgeton.org,Town Email,Manual,2/25/2026,Sent,Email,
Cove City,Craven,North Carolina,385,,Email,townclerk@covecitync.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Dover,Craven,North Carolina,343,,Email,townclerkdover5@gmail.com,Town Clerk,Manual,2/25/2026,Sent,Email,
Havelock,Craven,North Carolina,16621,,Email,mweigl@havelocknc.us,No verified PR email/portal found quickly; call city hall for clerk/records custodian email.,Manual,2/25/2026,Sent,Email,
New Bern,Craven,North Carolina,31291,,Portal,https://www.newbernnc.gov/citizen_request_center/index.php,Town Portal,Manual,2/25/2026,Sent,Sent,
Fayetteville,Cumberland,North Carolina,208501,,Portal,https://fayettevillenc.nextrequest.com/requests/new,City of Fayetteville NextRequest portal.,Manual,2/25/2026,Sent,Sent,
